gene	chromosome	start	end	bin	TAD
PRAMEF17	chr1	13389631	13389632	133897	
N/A	chr1	13389627	13389628	133897	
PDPN	chr1	13583756	13583757	135838	hg38_H1_19
PDPN	chr1	13585471	13585472	135855	hg38_H1_19
PDPN	chr1	13583756	13583757	135838	hg38_H1_19
PDPN	chr1	13585471	13585472	135855	hg38_H1_19
KAZN	chr1	14945918	14945919	149460	hg38_H1_21
C1ORF195	chr1	15171624	15171625	151717	hg38_H1_21
C1ORF195	chr1	15171624	15171625	151717	hg38_H1_21
TMEM51-AS1	chr1	15152464	15152465	151525	hg38_H1_21
CTRC	chr1	15438441	15438442	154385	hg38_H1_21
EFHD2	chr1	15409894	15409895	154099	hg38_H1_21
CELA2B	chr1	15476100	15476101	154762	hg38_H1_21
CASP9	chr1	15524445	15524446	155245	hg38_H1_22
AGMAT	chr1	15585110	15585111	155852	hg38_H1_22
DNAJC16	chr1	15526812	15526813	155269	hg38_H1_22
DNAJC16	chr1	15526812	15526813	155269	hg38_H1_22
CASP9	chr1	15524445	15524446	155245	hg38_H1_22
N/A	chr1	15524445	15524446	155245	hg38_H1_22
N/A	chr1	15524445	15524446	155245	hg38_H1_22
CASP9	chr1	15524790	15524791	155248	hg38_H1_22
N/A	chr1	15526812	15526813	155269	hg38_H1_22
RSC1A1	chr1	15659868	15659869	156599	hg38_H1_22
DDI2	chr1	15617457	15617458	156175	hg38_H1_22
SLC25A34	chr1	15736313	15736314	157364	hg38_H1_22
FLJ37453	chr1	15848147	15848148	158482	hg38_H1_23
TMEM82	chr1	15742491	15742492	157425	hg38_H1_22
FBLIM1	chr1	15758759	15758760	157588	hg38_H1_22
FBLIM1	chr1	15764963	15764964	157650	hg38_H1_23
FBLIM1	chr1	15764498	15764499	157645	hg38_H1_23
UQCRHL	chr1	15807699	15807700	158077	hg38_H1_23
ZBTB17	chr1	15976132	15976133	159762	hg38_H1_23
MIR5096	chr1	15871148	15871149	158712	hg38_H1_23
N/A	chr1	15976132	15976133	159762	hg38_H1_23
ZBTB17	chr1	15976132	15976133	159762	hg38_H1_23
ZBTB17	chr1	15976132	15976133	159762	hg38_H1_23
CLCNKA	chr1	16021990	16021991	160220	hg38_H1_23
CLCNKB	chr1	16043735	16043736	160438	hg38_H1_23
FAM131C	chr1	16073632	16073633	160737	hg38_H1_23
CLCNKA	chr1	16021990	16021991	160220	hg38_H1_23
CLCNKA	chr1	16021990	16021991	160220	hg38_H1_23
C1ORF64	chr1	16004235	16004236	160043	hg38_H1_23
HSPB7	chr1	16018790	16018791	160188	hg38_H1_23
CLCNKB	chr1	16048761	16048762	160488	hg38_H1_23
EPHA2	chr1	16156087	16156088	161561	hg38_H1_24
ARHGEF19	chr1	16212609	16212610	162127	hg38_H1_24
RSG1	chr1	16237164	16237165	162372	hg38_H1_24
N/A	chr1	16492701	16492702	164928	hg38_H1_24
RNVU1-18	chr1	16514285	16514286	165143	hg38_H1_24
RNU1-1	chr1	16514285	16514286	165143	hg38_H1_24
RNU1-2	chr1	16514285	16514286	165143	hg38_H1_24
RNU1-27P	chr1	16514285	16514286	165143	hg38_H1_24
RNU1-4	chr1	16514285	16514286	165143	hg38_H1_24
RNU1-3	chr1	16514285	16514286	165143	hg38_H1_24
RNU1-28P	chr1	16514285	16514286	165143	hg38_H1_24
NECAP2	chr1	16440671	16440672	164407	hg38_H1_24
SPATA21	chr1	16437424	16437425	164375	hg38_H1_24
NECAP2	chr1	16440671	16440672	164407	hg38_H1_24
NECAP2	chr1	16440671	16440672	164407	hg38_H1_24
N/A	chr1	16630906	16630907	166310	
MIR3675	chr1	16548913	16548914	165490	
NBPF1	chr1	16613605	16613606	166137	
N/A	chr1	16538723	16538724	165388	
RNVU1-18	chr1	16666948	16666949	166670	
RNVU1-18	chr1	16740515	16740516	167406	
RNU1-1	chr1	16666948	16666949	166670	
RNU1-1	chr1	16740515	16740516	167406	
RNU1-2	chr1	16666948	16666949	166670	
RNU1-2	chr1	16740515	16740516	167406	
RNU1-27P	chr1	16666948	16666949	166670	
RNU1-27P	chr1	16740515	16740516	167406	
RNU1-4	chr1	16666948	16666949	166670	
RNU1-4	chr1	16740515	16740516	167406	
RNU1-3	chr1	16666948	16666949	166670	
RNU1-3	chr1	16740515	16740516	167406	
RNU1-28P	chr1	16666948	16666949	166670	
RNU1-28P	chr1	16740515	16740516	167406	
FAM231A	chr1	16734461	16734462	167345	
FAM231A	chr1	16673002	16673003	166731	
N/A	chr1	16764480	16764481	167645	
MIR3675	chr1	16681254	16681255	166813	
N/A	chr1	16720157	16720158	167202	
N/A	chr1	16673002	16673003	166731	
N/A	chr1	16734461	16734462	167345	
RNVU1-18	chr1	16895979	16895980	168960	
RNU1-1	chr1	16895979	16895980	168960	
RNU1-2	chr1	16895979	16895980	168960	
RNU1-27P	chr1	16895979	16895980	168960	
RNU1-4	chr1	16895979	16895980	168960	
RNU1-3	chr1	16895979	16895980	168960	
RNU1-28P	chr1	16895979	16895980	168960	
MIR3675	chr1	16859021	16859022	168591	
ATP13A2	chr1	17011972	17011973	170120	hg38_H1_25
ATP13A2	chr1	17011972	17011973	170120	hg38_H1_25
MFAP2	chr1	16981586	16981587	169816	hg38_H1_25
MFAP2	chr1	16980678	16980679	169807	hg38_H1_25
N/A	chr1	16981586	16981587	169816	hg38_H1_25
CROCC	chr1	16921949	16921950	169220	
N/A	chr1	16980678	16980679	169807	hg38_H1_25
ATP13A2	chr1	17011972	17011973	170120	hg38_H1_25
PADI2	chr1	17119453	17119454	171195	hg38_H1_25
PADI1	chr1	17205125	17205126	172052	hg38_H1_25
MIR3972	chr1	17277888	17277889	172779	hg38_H1_25
PADI3	chr1	17249097	17249098	172491	hg38_H1_25
PADI4	chr1	17308194	17308195	173082	hg38_H1_25
PADI6	chr1	17372195	17372196	173722	hg38_H1_25
RP11-174G17.2	chr1	18065656	18065657	180657	hg38_H1_27
PAX7	chr1	18631005	18631006	186311	hg38_H1_28
PAX7	chr1	18631005	18631006	186311	hg38_H1_28
TAS1R2	chr1	18859661	18859662	188597	hg38_H1_28
MIR1290	chr1	18897148	18897149	188972	hg38_H1_29
MIR4695	chr1	18883275	18883276	188833	hg38_H1_29
IFFO2	chr1	18956332	18956333	189564	hg38_H1_29
MRTO4	chr1	19251580	19251581	192516	hg38_H1_29
EMC1	chr1	19251559	19251560	192516	hg38_H1_29
N/A	chr1	19251559	19251560	192516	hg38_H1_29
EMC1	chr1	19251559	19251560	192516	hg38_H1_29
EMC1	chr1	19251559	19251560	192516	hg38_H1_29
AKR7A3	chr1	19288786	19288787	192888	hg38_H1_30
PQLC2	chr1	19312245	19312246	193123	hg38_H1_30
PQLC2	chr1	19312245	19312246	193123	hg38_H1_30
N/A	chr1	19312245	19312246	193123	hg38_H1_30
N/A	chr1	19295736	19295737	192958	hg38_H1_30
AKR7A2	chr1	19312146	19312147	193122	hg38_H1_30
N/A	chr1	19312245	19312246	193123	hg38_H1_30
PQLC2	chr1	19312245	19312246	193123	hg38_H1_30
N/A	chr1	19607806	19607807	196079	hg38_H1_30
MINOS1	chr1	19596976	19596977	195970	hg38_H1_30
NBL1	chr1	19643228	19643229	196433	hg38_H1_30
MINOS1-NBL1	chr1	19596976	19596977	195970	hg38_H1_30
N/A	chr1	19596976	19596977	195970	hg38_H1_30
NBL1	chr1	19645765	19645766	196458	hg38_H1_30
NBL1	chr1	19645371	19645372	196454	hg38_H1_30
NBL1	chr1	19643713	19643714	196438	hg38_H1_30
N/A	chr1	19596976	19596977	195970	hg38_H1_30
MINOS1	chr1	19596976	19596977	195970	hg38_H1_30
N/A	chr1	19596976	19596977	195970	hg38_H1_30
N/A	chr1	19596976	19596977	195970	hg38_H1_30
NBL1	chr1	19647609	19647610	196477	hg38_H1_30
NBL1	chr1	19643408	19643409	196435	hg38_H1_30
N/A	chr1	19643228	19643229	196433	hg38_H1_30
NBL1	chr1	19644172	19644173	196442	hg38_H1_30
HTR6	chr1	19665286	19665287	196653	hg38_H1_30
OTUD3	chr1	19882394	19882395	198824	hg38_H1_32
RNF186	chr1	19815278	19815279	198153	hg38_H1_31
PLA2G2A	chr1	19979659	19979660	199797	hg38_H1_32
N/A	chr1	19980439	19980440	199805	hg38_H1_32
PLA2G2A	chr1	19980439	19980440	199805	hg38_H1_32
N/A	chr1	19980439	19980440	199805	hg38_H1_32
PLA2G2F	chr1	20139329	20139330	201394	hg38_H1_32
PLA2G5	chr1	20070207	20070208	200703	hg38_H1_32
PLA2G2D	chr1	20119566	20119567	201196	hg38_H1_32
PLA2G2D	chr1	20119566	20119567	201196	hg38_H1_32
PLA2G2C	chr1	20175194	20175195	201752	hg38_H1_32
UBXN10	chr1	20186077	20186078	201861	hg38_H1_32
N/A	chr1	20428794	20428795	204288	hg38_H1_32
CAMK2N1	chr1	20486235	20486236	204863	hg38_H1_32
FAM43B	chr1	20552438	20552439	205525	hg38_H1_33
MUL1	chr1	20508181	20508182	205082	hg38_H1_32
CDA	chr1	20588950	20588951	205890	hg38_H1_33
DDOST	chr1	20661544	20661545	206616	hg38_H1_33
MIR6084	chr1	20633678	20633679	206337	hg38_H1_33
PINK1	chr1	20633454	20633455	206335	hg38_H1_33
PINK1-AS	chr1	20652193	20652194	206522	hg38_H1_33
HP1BP3	chr1	20786688	20786689	207867	hg38_H1_34
SH2D5	chr1	20732640	20732641	207327	hg38_H1_34
SH2D5	chr1	20732640	20732641	207327	hg38_H1_34
MIR1256	chr1	20988432	20988433	209885	hg38_H1_34
RP5-1071N3.1	chr1	21293289	21293290	212933	hg38_H1_35
NBPF3	chr1	21440089	21440090	214401	hg38_H1_35
NBPF3	chr1	21440089	21440090	214401	hg38_H1_35
NBPF3	chr1	21440089	21440090	214401	hg38_H1_35
N/A	chr1	21440089	21440090	214401	hg38_H1_35
ALPL	chr1	21509364	21509365	215094	hg38_H1_35
ALPL	chr1	21509364	21509365	215094	hg38_H1_35
ALPL	chr1	21509364	21509365	215094	hg38_H1_35
LDLRAD2	chr1	21812264	21812265	218123	hg38_H1_36
CELA3B	chr1	21976924	21976925	219770	hg38_H1_36
CELA3A	chr1	22001655	22001656	220017	hg38_H1_37
CDC42	chr1	22052626	22052627	220527	hg38_H1_37
CDC42	chr1	22052626	22052627	220527	hg38_H1_37
N/A	chr1	22025503	22025504	220256	hg38_H1_37
N/A	chr1	22025190	22025191	220252	hg38_H1_37
N/A	chr1	22025503	22025504	220256	hg38_H1_37
N/A	chr1	22025503	22025504	220256	hg38_H1_37
LINC00339	chr1	22025503	22025504	220256	hg38_H1_37
N/A	chr1	22025503	22025504	220256	hg38_H1_37
CDC42	chr1	22052626	22052627	220527	hg38_H1_37
N/A	chr1	22026048	22026049	220261	hg38_H1_37
WNT4	chr1	22143026	22143027	221431	hg38_H1_37
MIR4418	chr1	22266238	22266239	222663	hg38_H1_37
ZBTB40	chr1	22451850	22451851	224519	hg38_H1_38
ZBTB40	chr1	22451850	22451851	224519	hg38_H1_38
C1QB	chr1	22653188	22653189	226532	hg38_H1_38
EPHA8	chr1	22563510	22563511	225636	hg38_H1_38
C1QC	chr1	22643624	22643625	226437	hg38_H1_38
N/A	chr1	22633366	22633367	226334	hg38_H1_38
C1QC	chr1	22643624	22643625	226437	hg38_H1_38
EPHA8	chr1	22563510	22563511	225636	hg38_H1_38
C1QA	chr1	22636624	22636625	226367	hg38_H1_38
MIR4684	chr1	22719516	22719517	227196	hg38_H1_39
MIR4253	chr1	22863226	22863227	228633	hg38_H1_39
C1ORF234	chr1	23015850	23015851	230159	hg38_H1_40
MIR4419A	chr1	23057934	23057935	230580	hg38_H1_40
MIR3115	chr1	23044304	23044305	230444	hg38_H1_40
LACTBL1	chr1	22965430	22965431	229655	hg38_H1_40
N/A	chr1	23168858	23168859	231689	hg38_H1_40
HTR1D	chr1	23194729	23194730	231948	hg38_H1_40
LUZP1	chr1	23168858	23168859	231689	hg38_H1_40
N/A	chr1	23285518	23285519	232856	hg38_H1_41
N/A	chr1	23368970	23368971	233690	hg38_H1_41
ZNF436	chr1	23369864	23369865	233699	hg38_H1_41
N/A	chr1	23369217	23369218	233693	hg38_H1_41
ZNF436	chr1	23368386	23368387	233684	hg38_H1_41
TCEA3	chr1	23424779	23424780	234248	hg38_H1_41
N/A	chr1	23521929	23521930	235220	hg38_H1_41
ID3	chr1	23559794	23559795	235598	hg38_H1_41
E2F2	chr1	23531220	23531221	235313	hg38_H1_41
RPL11	chr1	23691778	23691779	236918	hg38_H1_41
N/A	chr1	23691778	23691779	236918	hg38_H1_41
N/A	chr1	23627333	23627334	236274	hg38_H1_41
HMGCL	chr1	23825459	23825460	238255	hg38_H1_42
N/A	chr1	23800804	23800805	238009	hg38_H1_42
GALE	chr1	23799570	23799571	237996	hg38_H1_42
LYPLA2	chr1	23791155	23791156	237912	hg38_H1_42
GALE	chr1	23800544	23800545	238006	hg38_H1_42
TCEB3	chr1	23743365	23743366	237434	hg38_H1_41
HMGCL	chr1	23825459	23825460	238255	hg38_H1_42
PITHD1	chr1	23778385	23778386	237784	hg38_H1_42
TCEB3-AS1	chr1	23778297	23778298	237783	hg38_H1_42
SRSF10	chr1	23980463	23980464	239805	hg38_H1_43
CNR2	chr1	23913327	23913328	239134	hg38_H1_42
PNRC2	chr1	23959810	23959811	239599	hg38_H1_42
SRSF10	chr1	23980463	23980464	239805	hg38_H1_43
SRSF10	chr1	23980463	23980464	239805	hg38_H1_43
MIR378F	chr1	23929069	23929070	239291	hg38_H1_42
SRSF10	chr1	23980463	23980464	239805	hg38_H1_43
N/A	chr1	23980463	23980464	239805	hg38_H1_43
SRSF10	chr1	23980463	23980464	239805	hg38_H1_43
SRSF10	chr1	23980463	23980464	239805	hg38_H1_43
N/A	chr1	23980463	23980464	239805	hg38_H1_43
SRSF10	chr1	23980463	23980464	239805	hg38_H1_43
MYOM3	chr1	24112175	24112176	241122	hg38_H1_43
IFNLR1	chr1	24187275	24187276	241873	hg38_H1_43
IFNLR1	chr1	24187275	24187276	241873	hg38_H1_43
IFNLR1	chr1	24187275	24187276	241873	hg38_H1_43
IL22RA1	chr1	24143285	24143286	241433	hg38_H1_43
RP11-10N16.2	chr1	24200239	24200240	242003	hg38_H1_43
GRHL3	chr1	24319321	24319322	243194	hg38_H1_43
GRHL3	chr1	24319321	24319322	243194	hg38_H1_43
GRHL3	chr1	24319565	24319566	243196	hg38_H1_43
GRHL3	chr1	24323039	24323040	243231	hg38_H1_43
N/A	chr1	24502360	24502361	245024	hg38_H1_43
N/A	chr1	24502360	24502361	245024	hg38_H1_43
N/A	chr1	24502360	24502361	245024	hg38_H1_43
NIPAL3	chr1	24415754	24415755	244158	hg38_H1_43
RCAN3	chr1	24514313	24514314	245144	hg38_H1_43
RCAN3	chr1	24514313	24514314	245144	hg38_H1_43
RCAN3	chr1	24514313	24514314	245144	hg38_H1_43
N/A	chr1	24556024	24556025	245561	hg38_H1_43
NCMAP	chr1	24556075	24556076	245561	hg38_H1_43
SRRM1	chr1	24643102	24643103	246432	hg38_H1_44
N/A	chr1	24643558	24643559	246436	hg38_H1_44
N/A	chr1	24643102	24643103	246432	hg38_H1_44
MIR4425	chr1	25023502	25023503	250236	hg38_H1_44
MIR6731	chr1	24919416	24919417	249195	hg38_H1_44
SYF2	chr1	25232522	25232523	252326	hg38_H1_44
RSRP1	chr1	25247494	25247495	252475	hg38_H1_45
SYF2	chr1	25232522	25232523	252326	hg38_H1_44
RHCE	chr1	25420872	25420873	254209	hg38_H1_45
RHCE	chr1	25420872	25420873	254209	hg38_H1_45
RHCE	chr1	25420872	25420873	254209	hg38_H1_45
RHCE	chr1	25420872	25420873	254209	hg38_H1_45
TMEM50A	chr1	25338297	25338298	253383	hg38_H1_45
TMEM57	chr1	25430857	25430858	254309	hg38_H1_45
TMEM57	chr1	25430857	25430858	254309	hg38_H1_45
SEPN1	chr1	25800175	25800176	258002	hg38_H1_46
SEPN1	chr1	25800175	25800176	258002	hg38_H1_46
STMN1	chr1	25906877	25906878	259069	hg38_H1_47
STMN1	chr1	25906153	25906154	259062	hg38_H1_47
AUNIP	chr1	25859458	25859459	258595	hg38_H1_47
MIR3917	chr1	25906454	25906455	259065	hg38_H1_47
AUNIP	chr1	25859458	25859459	258595	hg38_H1_47
PAQR7	chr1	25871253	25871254	258713	hg38_H1_47
STMN1	chr1	25906502	25906503	259066	hg38_H1_47
STMN1	chr1	25906502	25906503	259066	hg38_H1_47
EXTL1	chr1	26021779	26021780	260218	hg38_H1_47
PAFAH2	chr1	25998157	25998158	259982	hg38_H1_47
TRIM63	chr1	26067634	26067635	260677	hg38_H1_48
SLC30A2	chr1	26046138	26046139	260462	hg38_H1_48
SLC30A2	chr1	26046138	26046139	260462	hg38_H1_48
CATSPER4	chr1	26190627	26190628	261907	hg38_H1_48
PDIK1L	chr1	26111776	26111777	261118	hg38_H1_48
PDIK1L	chr1	26111164	26111165	261112	hg38_H1_48
ZNF593	chr1	26169896	26169897	261699	hg38_H1_48
N/A	chr1	26177489	26177490	261775	hg38_H1_48
FAM110D	chr1	26159019	26159020	261591	hg38_H1_48
PDIK1L	chr1	26111776	26111777	261118	hg38_H1_48
CNKSR1	chr1	26177489	26177490	261775	hg38_H1_48
CNKSR1	chr1	26177489	26177490	261775	hg38_H1_48
UBXN11	chr1	26318265	26318266	263183	hg38_H1_48
N/A	chr1	26269282	26269283	262693	hg38_H1_48
CEP85	chr1	26234152	26234153	262342	hg38_H1_48
SH3BGRL3	chr1	26279721	26279722	262798	hg38_H1_48
UBXN11	chr1	26306704	26306705	263068	hg38_H1_48
CD52	chr1	26317919	26317920	263180	hg38_H1_48
CEP85	chr1	26234152	26234153	262342	hg38_H1_48
UBXN11	chr1	26306704	26306705	263068	hg38_H1_48
N/A	chr1	26225319	26225320	262254	hg38_H1_48
N/A	chr1	26372794	26372795	263728	hg38_H1_48
DHDDS	chr1	26432281	26432282	264323	hg38_H1_48
N/A	chr1	26372794	26372795	263728	hg38_H1_48
LIN28A	chr1	26410777	26410778	264108	hg38_H1_48
DHDDS	chr1	26432281	26432282	264323	hg38_H1_48
DHDDS	chr1	26432281	26432282	264323	hg38_H1_48
ZNF683	chr1	26372794	26372795	263728	hg38_H1_48
DHDDS	chr1	26432281	26432282	264323	hg38_H1_48
N/A	chr1	26467537	26467538	264676	hg38_H1_48
N/A	chr1	26467537	26467538	264676	hg38_H1_48
RPS6KA1	chr1	26529757	26529758	265298	hg38_H1_49
MIR1976	chr1	26554541	26554542	265546	hg38_H1_49
RPS6KA1	chr1	26545851	26545852	265459	hg38_H1_49
PIGV	chr1	26788187	26788188	267882	hg38_H1_49
SFN	chr1	26863141	26863142	268632	hg38_H1_49
ZDHHC18	chr1	26826709	26826710	268268	hg38_H1_49
PIGV	chr1	26787962	26787963	267880	hg38_H1_49
NUDC	chr1	26921721	26921722	269218	hg38_H1_49
GPATCH3	chr1	26900471	26900472	269005	hg38_H1_49
NR0B2	chr1	26914076	26914077	269141	hg38_H1_49
KDF1	chr1	26960410	26960411	269605	hg38_H1_49
GPN2	chr1	26890378	26890379	268904	hg38_H1_49
FAM46B	chr1	27012842	27012843	270129	hg38_H1_50
TMEM222	chr1	27322144	27322145	273222	hg38_H1_51
SYTL1	chr1	27341991	27341992	273420	hg38_H1_51
N/A	chr1	27322144	27322145	273222	hg38_H1_51
N/A	chr1	27322144	27322145	273222	hg38_H1_51
N/A	chr1	27322144	27322145	273222	hg38_H1_51
SYTL1	chr1	27341991	27341992	273420	hg38_H1_51
MAP3K6	chr1	27366866	27366867	273669	hg38_H1_51
FCN3	chr1	27374824	27374825	273749	hg38_H1_51
MAP3K6	chr1	27366866	27366867	273669	hg38_H1_51
RNU6-48P	chr1	27325218	27325219	273253	hg38_H1_51
N/A	chr1	27323873	27323874	273239	hg38_H1_51
CD164L2	chr1	27383333	27383334	273834	hg38_H1_51
FCN3	chr1	27374824	27374825	273749	hg38_H1_51
WASF2	chr1	27490187	27490188	274902	hg38_H1_51
WASF2	chr1	27490187	27490188	274902	hg38_H1_51
FGR	chr1	27635216	27635217	276353	hg38_H1_51
FGR	chr1	27626595	27626596	276266	hg38_H1_51
FGR	chr1	27626240	27626241	276263	hg38_H1_51
AHDC1	chr1	27603494	27603495	276035	hg38_H1_51
FAM76A	chr1	27725978	27725979	277260	hg38_H1_52
FAM76A	chr1	27725978	27725979	277260	hg38_H1_52
FAM76A	chr1	27725978	27725979	277260	hg38_H1_52
FAM76A	chr1	27725978	27725979	277260	hg38_H1_52
IFI6	chr1	27672213	27672214	276723	hg38_H1_51
FAM76A	chr1	27725978	27725979	277260	hg38_H1_52
IFI6	chr1	27672213	27672214	276723	hg38_H1_51
IFI6	chr1	27672213	27672214	276723	hg38_H1_51
THEMIS2	chr1	27872542	27872543	278726	hg38_H1_52
THEMIS2	chr1	27872542	27872543	278726	hg38_H1_52
N/A	chr1	27914797	27914798	279148	hg38_H1_52
THEMIS2	chr1	27872542	27872543	278726	hg38_H1_52
PPP1R8	chr1	27830740	27830741	278308	hg38_H1_52
RPA2	chr1	27914797	27914798	279148	hg38_H1_52
PPP1R8	chr1	27830813	27830814	278309	hg38_H1_52
PPP1R8	chr1	27830813	27830814	278309	hg38_H1_52
SCARNA1	chr1	27834400	27834401	278345	hg38_H1_52
N/A	chr1	27872542	27872543	278726	hg38_H1_52
THEMIS2	chr1	27872542	27872543	278726	hg38_H1_52
RPA2	chr1	27914797	27914798	279148	hg38_H1_52
SMPDL3B	chr1	27934954	27934955	279350	hg38_H1_52
SMPDL3B	chr1	27934954	27934955	279350	hg38_H1_52
N/A	chr1	27934954	27934955	279350	hg38_H1_52
XKR8	chr1	27959461	27959462	279595	hg38_H1_52
PTAFR	chr1	28176944	28176945	281770	hg38_H1_52
N/A	chr1	28176944	28176945	281770	hg38_H1_52
ATPIF1	chr1	28236090	28236091	282361	hg38_H1_52
ATPIF1	chr1	28236090	28236091	282361	hg38_H1_52
SESN2	chr1	28259451	28259452	282595	hg38_H1_52
ATPIF1	chr1	28236090	28236091	282361	hg38_H1_52
DNAJC8	chr1	28233031	28233032	282331	hg38_H1_52
N/A	chr1	28329001	28329002	283291	hg38_H1_52
MED18	chr1	28329001	28329002	283291	hg38_H1_52
SNORA73A	chr1	28507364	28507365	285074	hg38_H1_52
N/A	chr1	28508557	28508558	285086	hg38_H1_52
RCC1	chr1	28518232	28518233	285183	hg38_H1_52
RCC1	chr1	28518232	28518233	285183	hg38_H1_52
N/A	chr1	28505942	28505943	285060	hg38_H1_52
N/A	chr1	28505942	28505943	285060	hg38_H1_52
SNHG3	chr1	28505942	28505943	285060	hg38_H1_52
RCC1	chr1	28505942	28505943	285060	hg38_H1_52
N/A	chr1	28518232	28518233	285183	hg38_H1_52
N/A	chr1	28505942	28505943	285060	hg38_H1_52
SNORD99	chr1	28578822	28578823	285789	hg38_H1_52
RNU11	chr1	28648599	28648600	286486	hg38_H1_53
TAF12	chr1	28643092	28643093	286431	hg38_H1_53
SNORA44	chr1	28580512	28580513	285806	hg38_H1_52
TAF12	chr1	28643092	28643093	286431	hg38_H1_53
SNORA16A	chr1	28581053	28581054	285811	hg38_H1_52
SNHG12	chr1	28581854	28581855	285819	hg38_H1_52
RAB42	chr1	28592199	28592200	285922	hg38_H1_52
SNORA61	chr1	28579893	28579894	285799	hg38_H1_52
N/A	chr1	28592494	28592495	285925	hg38_H1_52
YTHDF2	chr1	28736620	28736621	287367	hg38_H1_53
YTHDF2	chr1	28736939	28736940	287370	hg38_H1_53
YTHDF2	chr1	28736623	28736624	287367	hg38_H1_53
SRSF4	chr1	29182125	29182126	291822	hg38_H1_53
TMEM200B	chr1	29122501	29122502	291226	hg38_H1_53
TMEM200B	chr1	29123909	29123910	291240	hg38_H1_53
PTPRU	chr1	29236515	29236516	292366	hg38_H1_54
PTPRU	chr1	29236515	29236516	292366	hg38_H1_54
PTPRU	chr1	29236515	29236516	292366	hg38_H1_54
PTPRU	chr1	29236515	29236516	292366	hg38_H1_54
RP3-437I16.1	chr1	29350114	29350115	293502	hg38_H1_54
LAPTM5	chr1	30757836	30757837	307579	hg38_H1_54
MATN1	chr1	30723585	30723586	307236	hg38_H1_54
MATN1-AS1	chr1	30718771	30718772	307188	hg38_H1_54
MIR4420	chr1	30739232	30739233	307393	hg38_H1_54
SDC3	chr1	30908633	30908634	309087	hg38_H1_54
N/A	chr1	30935776	30935777	309358	hg38_H1_54
N/A	chr1	30949205	30949206	309493	hg38_H1_54
N/A	chr1	30968237	30968238	309683	hg38_H1_55
N/A	chr1	30935776	30935777	309358	hg38_H1_54
N/A	chr1	30949205	30949206	309493	hg38_H1_54
SNRNP40	chr1	31296797	31296798	312968	hg38_H1_56
SERINC2	chr1	31413812	31413813	314139	hg38_H1_56
FABP3	chr1	31373076	31373077	313731	hg38_H1_56
SERINC2	chr1	31409564	31409565	314096	hg38_H1_56
SERINC2	chr1	31410173	31410174	314102	hg38_H1_56
N/A	chr1	31413812	31413813	314139	hg38_H1_56
SERINC2	chr1	31413115	31413116	314132	hg38_H1_56
TINAGL1	chr1	31576484	31576485	315765	hg38_H1_56
TINAGL1	chr1	31578144	31578145	315782	hg38_H1_56
TINAGL1	chr1	31576484	31576485	315765	hg38_H1_56
N/A	chr1	31500084	31500085	315001	hg38_H1_56
LINC01226	chr1	31518434	31518435	315185	hg38_H1_56
PEF1	chr1	31645237	31645238	316453	hg38_H1_57
N/A	chr1	31644617	31644618	316447	hg38_H1_57
N/A	chr1	31645237	31645238	316453	hg38_H1_57
COL16A1	chr1	31704167	31704168	317042	hg38_H1_57
HCRTR1	chr1	31617699	31617700	316177	hg38_H1_56
SPOCD1	chr1	31816051	31816052	318161	hg38_H1_57
MIR4254	chr1	31758735	31758736	317588	hg38_H1_57
SPOCD1	chr1	31816051	31816052	318161	hg38_H1_57
SPOCD1	chr1	31816051	31816052	318161	hg38_H1_57
BAI2	chr1	31764063	31764064	317641	hg38_H1_57
BAI2	chr1	31764063	31764064	317641	hg38_H1_57
PTP4A2	chr1	31919658	31919659	319197	hg38_H1_57
PTP4A2	chr1	31919658	31919659	319197	hg38_H1_57
PTP4A2	chr1	31938387	31938388	319384	hg38_H1_57
N/A	chr1	32013693	32013694	320137	hg38_H1_57
KHDRBS1	chr1	32013693	32013694	320137	hg38_H1_57
MIR5585	chr1	32086948	32086949	320870	hg38_H1_57
KHDRBS1	chr1	32013693	32013694	320137	hg38_H1_57
KHDRBS1	chr1	32013693	32013694	320137	hg38_H1_57
TMEM39B	chr1	32072901	32072902	320730	hg38_H1_57
EIF3I	chr1	32222369	32222370	322224	hg38_H1_58
TXLNA	chr1	32179743	32179744	321798	hg38_H1_57
CCDC28B	chr1	32200385	32200386	322004	hg38_H1_57
CCDC28B	chr1	32200385	32200386	322004	hg38_H1_57
IQCC	chr1	32205634	32205635	322057	hg38_H1_58
IQCC	chr1	32205634	32205635	322057	hg38_H1_58
DCDC2B	chr1	32209093	32209094	322091	hg38_H1_58
N/A	chr1	32241710	32241711	322418	hg38_H1_58
TMEM234	chr1	32222325	32222326	322224	hg38_H1_58
LCK	chr1	32251238	32251239	322513	hg38_H1_58
FAM167B	chr1	32247216	32247217	322473	hg38_H1_58
HDAC1	chr1	32292106	32292107	322922	hg38_H1_58
MARCKSL1	chr1	32336239	32336240	323363	hg38_H1_58
LCK	chr1	32274110	32274111	322742	hg38_H1_58
TSSK3	chr1	32362260	32362261	323623	hg38_H1_59
FAM229A	chr1	32362243	32362244	323623	hg38_H1_59
N/A	chr1	32336239	32336240	323363	hg38_H1_58
ZBTB8B	chr1	32465056	32465057	324651	hg38_H1_59
N/A	chr1	32539144	32539145	325392	hg38_H1_59
ZBTB8A	chr1	32539144	32539145	325392	hg38_H1_59
N/A	chr1	32539144	32539145	325392	hg38_H1_59
